type ,measure ,beat ,duration
hit  ,      1 ,   1 ,       0
hit  ,      2 ,   1 ,       0
hit  ,      3 ,   1 ,       0
hit  ,      4 ,   1 ,       0
hit  ,      5 ,   1 ,       0
hit  ,      6 ,   1 ,       0
hit  ,      7 ,   1 ,       0
hit  ,      8 ,   1 ,       0
hit  ,      9 ,   1 ,       0
hit  ,     10 ,   1 ,       0
hit  ,     11 ,   1 ,       0
hit  ,     12 ,   1 ,       0
hit  ,     13 ,   1 ,       0
hit  ,     14 ,   1 ,       0
hit  ,     15 ,   1 ,       0
hit  ,     16 ,   1 ,       0
hit  ,     17 ,   1 ,       0
hit  ,     18 ,   1 ,       0
hit  ,     19 ,   1 ,       0
hit  ,     20 ,   1 ,       0
hit  ,     21 ,   1 ,       0
hit  ,     22 ,   1 ,       0
hit  ,     23 ,   1 ,       0
hit  ,     24 ,   1 ,       0
hit  ,     25 ,   1 ,       0
hit  ,     26 ,   1 ,       0
hit  ,     27 ,   1 ,       0
hit  ,     28 ,   1 ,       0
hit  ,     29 ,   1 ,       0
hit  ,     30 ,   1 ,       0
hit  ,     31 ,   1 ,       0
hit  ,     32 ,   1 ,       0
hit  ,     33 ,   1 ,       0
hit  ,     34 ,   1 ,       0
hit  ,     35 ,   1 ,       0
hit  ,     36 ,   1 ,       0
hit  ,     37 ,   1 ,       0
hit  ,     38 ,   1 ,       0
hit  ,     39 ,   1 ,       0
hit  ,     40 ,   1 ,       0
hit  ,     41 ,   1 ,       0
hit  ,     42 ,   1 ,       0
hit  ,     43 ,   1 ,       0
hit  ,     44 ,   1 ,       0
hit  ,     45 ,   1 ,       0
hit  ,     46 ,   1 ,       0
hit  ,     47 ,   1 ,       0
hit  ,     48 ,   1 ,       0
hit  ,     49 ,   1 ,       0
hit  ,     50 ,   1 ,       0
hit  ,     51 ,   1 ,       0
hit  ,     52 ,   1 ,       0
hit  ,     53 ,   1 ,       0
hit  ,     54 ,   1 ,       0
hit  ,     55 ,   1 ,       0
hit  ,     56 ,   1 ,       0
hit  ,     57 ,   1 ,       0
hit  ,     58 ,   1 ,       0
hit  ,     59 ,   1 ,       0
hit  ,     60 ,   1 ,       0
hit  ,     61 ,   1 ,       0
hit  ,     62 ,   1 ,       0
hit  ,     63 ,   1 ,       0
hit  ,     64 ,   1 ,       0
hit  ,     65 ,   1 ,       0
hit  ,     66 ,   1 ,       0
hit  ,     67 ,   1 ,       0
hit  ,     68 ,   1 ,       0
hit  ,     69 ,   1 ,       0
hit  ,     70 ,   1 ,       0
hit  ,     71 ,   1 ,       0
hit  ,     72 ,   1 ,       0
hit  ,     73 ,   1 ,       0
hit  ,     74 ,   1 ,       0
hit  ,     75 ,   1 ,       0
hit  ,     76 ,   1 ,       0
hit  ,     77 ,   1 ,       0
hit  ,     78 ,   1 ,       0
hit  ,     79 ,   1 ,       0
hit  ,     80 ,   1 ,       0
hit  ,     81 ,   1 ,       0
hit  ,     82 ,   1 ,       0
hit  ,     83 ,   1 ,       0
hit  ,     84 ,   1 ,       0
